CODIGO;DESCRICAO;DURACAO;PARCELAS;N_HORAS;EXERVIRTUAIS;QTD_APOSTILA;ATIVO;VALOR;REQUERAPOSTILA;POSEST;STATUSEST;QTD_APOSTILA_DIG;CANCELADOFRANQUEADORA;INCLUSAO;IMAGEM;OCULTO;MAPAKIDS;HORASCURSO;LINKINDICE
91;INGLÊS MOD. I;2;2;56;N;1;S;;1;N;N;31;N;S;ONLINE;N;N;56;
92;WORD 2010;2;2;20;N;0;S;;1;N;N;23;N;S;ONLINE;N;N;20;
93;EXCEL 2010;2;2;18;N;0;S;;1;N;N;7;N;S;ONLINE;N;N;18;
94;EXCEL 2010 AVANÇADO;2;2;21;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;21;
95;POWERPOINT 2010;2;2;16;N;0;S;;1;N;N;1;N;S;ONLINE;N;N;16;
96;ACCESS 2010;2;2;16;N;1;S;;1;N;N;10;N;S;ONLINE;N;N;16;
97;INTERNET 9;2;2;15;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;15;
98;WORD 2010 KIDS;2;2;12;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;12;
99;EXCEL 2010 KIDS;2;2;13;N;0;S;;1;N;N;6;N;S;ONLINE;N;N;13;
100;POWERPOINT 2010 KIDS;2;2;12;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;12;
101;INTERNET 9 KIDS;2;2;14;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;14;
102;WORD 2010 MELHOR IDADE;2;2;10;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;10;
103;EXCEL 2010 MELHOR IDADE;2;2;13;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;13;
104;POWERPOINT 2010 MELHOR IDADE;2;2;11;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;11;
105;INTERNET 9 MELHOR IDADE;2;2;17;N;0;S;;1;N;N;0;N;S;ONLINE;N;N;17;
106;FOTOGRAFIA DIGITAL;2;2;24;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;24;
107;INGLÊS MOD. II;2;2;56;N;0;S;;1;N;N;32;N;S;ONLINE;N;N;56;
108;AFTER EFFECTS CS6;2;2;18;N;0;S;;1;S;N;39;N;S;ONLINE;N;N;18;
109;DREAMWEAVER CS6;2;2;20;N;0;S;;1;S;N;10;N;S;ONLINE;N;N;20;
110;FIREWORKS CS6;2;2;17;N;0;S;;1;S;N;20;N;S;ONLINE;N;N;17;
111;FLASH CS6;2;2;20;N;0;S;;1;S;N;33;N;S;ONLINE;N;N;20;
112;INDESIGN CS6;2;2;18;N;0;S;;1;S;N;23;N;S;ONLINE;N;N;18;
113;PHOTOSHOP CS6;2;2;22;N;0;S;;1;S;N;25;N;S;ONLINE;N;N;22;
114;PREMIERE CS6;2;2;19;N;0;S;;1;S;N;18;N;S;ONLINE;N;N;19;
115;WEB DESIGN AVANÇADO CS6;2;2;25;N;0;S;;1;S;N;10;N;S;ONLINE;N;N;25;
116;CORELDRAW X6;2;2;24;N;0;S;;1;S;N;31;N;S;ONLINE;N;N;24;
117;AUTOCAD 2013 MOD.I;2;2;22;N;0;S;;1;S;N;25;N;S;ONLINE;N;N;22;
118;AUTOCAD 2013 MOD.II;2;2;20;N;0;S;;1;S;N;24;N;S;ONLINE;N;N;20;
119;INGLÊS MOD. III;2;2;56;N;0;S;;1;N;N;34;N;S;ONLINE;N;N;56;
120;BANCO DE DADOS;2;2;19;N;0;S;;1;N;N;19;N;S;ONLINE;N;N;19;
121;CSHARP MOD I;2;2;20;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;20;
122;CSHARP MOD II;2;2;18;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;18;
123;JAVA MOD I;2;2;21;N;0;S;;1;N;N;20;N;S;ONLINE;N;N;21;
124;JAVA MOD II;2;2;18;N;0;S;;1;N;N;19;N;S;ONLINE;N;N;18;
125;LOG. PROG. ORIENTADA A OBJETOS;2;2;17;N;0;S;;1;N;N;21;N;S;ONLINE;N;N;17;
126;UML;2;2;16;N;0;S;;1;N;N;9;N;S;ONLINE;N;N;16;
127;PHP 2.0;2;2;23;N;0;S;;1;N;N;14;N;S;ONLINE;N;N;23;
128;WINDOWS 8.1;2;2;19;N;0;S;;1;N;N;9;N;S;ONLINE;N;N;19;
129;WORD 2013;2;2;21;N;0;S;;1;S;N;43;N;S;ONLINE;N;N;21;
130;EXCEL 2013;2;2;18;N;0;S;;1;S;N;53;N;S;ONLINE;N;N;18;
131;POWER POINT 2013;2;2;17;N;0;S;;1;S;N;49;N;S;ONLINE;N;N;17;
132;ACCESS 2013;2;2;16;N;1;S;;1;S;N;15;N;S;ONLINE;N;N;16;
133;INTERNET 10;2;2;19;N;0;S;;1;N;N;4;N;S;ONLINE;N;N;19;
134;INTERNET 10 KIDS;2;2;13;N;0;S;;1;N;N;4;N;S;ONLINE;N;N;13;
135;INTERNET 10 MELHOR IDADE;2;2;17;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;17;
136;CRIAÇÃO DE GAMES MOD II 2.0;2;2;19;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;19;
137;CRIAÇÃO DE GAMES MOD III 2.0;2;2;20;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;20;
138;TURISMO 2.0;2;2;20;N;0;S;;1;N;N;7;N;S;ONLINE;N;N;20;
139;BIOENERGIA 2.0;2;2;16;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;16;
140;TÉC. PROD. SUCROALCOOLEIRA 2.0;2;2;16;N;0;S;;1;N;N;5;N;S;ONLINE;N;N;16;
141;OPERADOR DE CALDEIRA 2.0;2;2;15;N;0;S;;1;N;N;3;N;S;ONLINE;N;N;15;
142;TÉCNICAS ADMINISTRATIVAS 2.0;2;2;16;N;0;S;;1;N;N;12;N;S;ONLINE;N;N;16;
143;OPERADOR DE CAIXA 2.0;2;2;11;N;0;S;;1;N;N;19;N;S;ONLINE;N;N;11;
144;GESTÃO DE PESSOAS;2;2;19;N;1;S;;1;N;N;23;N;S;ONLINE;N;N;19;
145;TELEMARKETING E VENDAS 2.0;2;2;19;N;0;S;;1;N;N;15;N;S;ONLINE;N;N;19;
146;HTML5 + CSS3;2;2;20;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;20;
